DocId,Namespace,Type,Member,Reason,linux,osx,win
M:System.Diagnostics.Process.GetProcessById(System.Int32),System.Diagnostics,Process,GetProcessById(Int32),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.GetProcesses,System.Diagnostics,Process,GetProcesses(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.GetProcessesByName(System.String),System.Diagnostics,Process,GetProcessesByName(String),Throws if remote but can't create remote instance,X,,
M:System.Diagnostics.Process.Kill,System.Diagnostics,Process,Kill(),Throws if remote but can't create remote instance,X,X,
M:System.Diagnostics.Process.Start,System.Diagnostics,Process,Start(),Only if UseShellExecute true and Windows version does not support it,,,X
M:System.Diagnostics.Process.Start(System.Diagnostics.ProcessStartInfo),System.Diagnostics,Process,Start(ProcessStartInfo),Only if UseShellExecute true and Windows version does not support it,,,X
"M:System.Net.Sockets.Socket.BeginSendFile(System.String,System.AsyncCallback,System.Object)",System.Net.Sockets,Socket,"BeginSendFile(String, AsyncCallback, Object)",PNSE unreachable,X,X,
"M:System.Net.Sockets.Socket.BeginSendFile(System.String,System.Byte[],System.Byte[],System.Net.Sockets.TransmitFileOptions,System.AsyncCallback,System.Object)",System.Net.Sockets,Socket,"BeginSendFile(String, Byte[], Byte[], TransmitFileOptions, AsyncCallback, Object)",PNSE only if TransmitFileOptions not UseDefaultWorkerThread,X,X,
M:System.Net.Sockets.Socket.SendFile(System.String),System.Net.Sockets,Socket,SendFile(String),M:System.Net.Sockets.Socket.CheckTransmitFileOptions(System.Net.Sockets.TransmitFileOptions),PNSE unreachable,X,X,
"M:System.Net.Sockets.Socket.SendFile(System.String,System.Byte[],System.Byte[],System.Net.Sockets.TransmitFileOptions)",System.Net.Sockets,Socket,"SendFile(String, Byte[], Byte[], TransmitFileOptions)",M:System.Net.Sockets.Socket.CheckTransmitFileOptions(System.Net.Sockets.TransmitFileOptions),PNSE only if TransmitFileOptions not UseDefaultWorkerThread,X,X,
"M:System.Net.Sockets.UdpClient.BeginReceive(System.AsyncCallback,System.Object)",System.Net.Sockets,UdpClient,"BeginReceive(AsyncCallback, Object)",Conditional on platform and settings,X,X,
M:System.Net.Sockets.UdpClient.Connect(System.Net.IPEndPoint),System.Net.Sockets,UdpClient,Connect(IPEndPoint),Conditional on platform and settings,X,X,
"M:System.Net.Sockets.UdpClient.Connect(System.String,System.Int32)",System.Net.Sockets,UdpClient,"Connect(String, Int32)",Conditional on platform and settings,X,X,
M:System.Net.Sockets.UdpClient.Receive(System.Net.IPEndPoint@),System.Net.Sockets,UdpClient,Receive(IPEndPoint),Conditional on platform and settings,X,X,
M:System.Security.Cryptography.HMACMD5.#ctor,System.Security.Cryptography,HMACMD5,.ctor(),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACMD5.#ctor(System.Byte[]),System.Security.Cryptography,HMACMD5,.ctor(Byte[]),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACMD5.set_Key(System.Byte[]),System.Security.Cryptography,HMACMD5,set_Key(Byte[]),PNSE Unreachable,,X,
M:System.Security.Cryptography.HMACSHA1.#ctor,System.Security.Cryptography,HMACSHA1,.ctor(),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACSHA1.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA1,.ctor(Byte[]),PNSE Unreachable,X,X,X
"M:System.Security.Cryptography.HMACSHA1.#ctor(System.Byte[],System.Boolean)",System.Security.Cryptography,HMACSHA1,".ctor(Byte[], Boolean)",PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACSHA1.set_Key(System.Byte[]),System.Security.Cryptography,HMACSHA1,set_Key(Byte[]),PNSE Unreachable,,X,
M:System.Security.Cryptography.HMACSHA256.#ctor,System.Security.Cryptography,HMACSHA256,.ctor(),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACSHA256.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA256,.ctor(Byte[]),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACSHA256.set_Key(System.Byte[]),System.Security.Cryptography,HMACSHA256,set_Key(Byte[]),PNSE Unreachable,,X,
M:System.Security.Cryptography.HMACSHA384.#ctor,System.Security.Cryptography,HMACSHA384,.ctor(),PNSE Unreachable,X,X,X
