DocId,Namespace,Type,Member,Site,linux,osx,win
"M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.Int32)",Internal.Runtime.CompilerServices,Unsafe,"Add<T>(T, Int32)","M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.Int32)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.IntPtr)",Internal.Runtime.CompilerServices,Unsafe,"Add<T>(T, IntPtr)","M:Internal.Runtime.CompilerServices.Unsafe.Add``1(``0@,System.IntPtr)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.Add``1(System.Void*,System.Int32)",Internal.Runtime.CompilerServices,Unsafe,"Add<T>(Void*, Int32)","M:Internal.Runtime.CompilerServices.Unsafe.Add``1(System.Void*,System.Int32)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.AddByteOffset``1(``0@,System.IntPtr)",Internal.Runtime.CompilerServices,Unsafe,"AddByteOffset<T>(T, IntPtr)","M:Internal.Runtime.CompilerServices.Unsafe.AddByteOffset``1(``0@,System.IntPtr)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.AreSame``1(``0@,``0@)",Internal.Runtime.CompilerServices,Unsafe,"AreSame<T>(T, T)","M:Internal.Runtime.CompilerServices.Unsafe.AreSame``1(``0@,``0@)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.As``1(System.Object),Internal.Runtime.CompilerServices,Unsafe,As<T>(Object),M:Internal.Runtime.CompilerServices.Unsafe.As``1(System.Object),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.As``2(``0@),Internal.Runtime.CompilerServices,Unsafe,"As<TFrom, TTo>(TFrom)",M:Internal.Runtime.CompilerServices.Unsafe.As``2(``0@),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.AsPointer``1(``0@),Internal.Runtime.CompilerServices,Unsafe,AsPointer<T>(T),M:Internal.Runtime.CompilerServices.Unsafe.AsPointer``1(``0@),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.AsRef``1(System.Void*),Internal.Runtime.CompilerServices,Unsafe,AsRef<T>(Void*),"M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.ByteOffset``1(``0@,``0@)",Internal.Runtime.CompilerServices,Unsafe,"ByteOffset<T>(T, T)","M:Internal.Runtime.CompilerServices.Unsafe.ByteOffset``1(``0@,``0@)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.InitBlockUnaligned(System.Byte@,System.Byte,System.UInt32)",Internal.Runtime.CompilerServices,Unsafe,"InitBlockUnaligned(Byte, Byte, UInt32)","M:Internal.Runtime.CompilerServices.Unsafe.AddByteOffset<T:System.Byte>(System.Byte@,System.IntPtr)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.Read``1(System.Byte@),Internal.Runtime.CompilerServices,Unsafe,Read<T>(Byte),"M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.Read``1(System.Void*),Internal.Runtime.CompilerServices,Unsafe,Read<T>(Void*),"M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Byte@),Internal.Runtime.CompilerServices,Unsafe,ReadUnaligned<T>(Byte),M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Byte@),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Void*),Internal.Runtime.CompilerServices,Unsafe,ReadUnaligned<T>(Void*),M:Internal.Runtime.CompilerServices.Unsafe.ReadUnaligned``1(System.Void*),X,X,X
M:Internal.Runtime.CompilerServices.Unsafe.SizeOf``1,Internal.Runtime.CompilerServices,Unsafe,SizeOf<T>(),M:Internal.Runtime.CompilerServices.Unsafe.SizeOf``1,X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.Write``1(System.Byte@,``0)",Internal.Runtime.CompilerServices,Unsafe,"Write<T>(Byte, T)","M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.Write``1(System.Void*,``0)",Internal.Runtime.CompilerServices,Unsafe,"Write<T>(Void*, T)","M:Internal.Runtime.CompilerServices.Unsafe.As<T:System.Byte,``0>(System.Byte@)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.WriteUnaligned``1(System.Byte@,``0)",Internal.Runtime.CompilerServices,Unsafe,"WriteUnaligned<T>(Byte, T)","M:Internal.Runtime.CompilerServices.Unsafe.WriteUnaligned``1(System.Byte@,``0)",X,X,X
"M:Internal.Runtime.CompilerServices.Unsafe.WriteUnaligned``1(System.Void*,``0)",Internal.Runtime.CompilerServices,Unsafe,"WriteUnaligned<T>(Void*, T)","M:Internal.Runtime.CompilerServices.Unsafe.WriteUnaligned``1(System.Void*,``0)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.#ctor(Microsoft.SqlServer.Server.SqlMetaData[]),Microsoft.SqlServer.Server,SqlDataRecord,.ctor(SqlMetaData[]),M:Microsoft.SqlServer.Server.MetaDataUtilsSmi.SqlMetaDataToSmiExtendedMetaData(Microsoft.SqlServer.Server.SqlMetaData),X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.get_Item(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,get_Item(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.get_Item(System.String),Microsoft.SqlServer.Server,SqlDataRecord,get_Item(String),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetBoolean(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetBoolean(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetByte(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetByte(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
"M:Microsoft.SqlServer.Server.SqlDataRecord.GetChars(System.Int32,System.Int64,System.Char[],System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"GetChars(Int32, Int64, Char[], Int32, Int32)","M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDateTime(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDateTime(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDateTimeOffset(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDateTimeOffset(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDecimal(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDecimal(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDouble(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDouble(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetFloat(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetFloat(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetGuid(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetGuid(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt16(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt16(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt32(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt32(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt64(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt64(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBinary(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBinary(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBoolean(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBoolean(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlByte(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlByte(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBytes(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBytes(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlChars(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlChars(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDateTime(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDateTime(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDecimal(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDecimal(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDouble(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDouble(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlGuid(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlGuid(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt16(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt16(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt32(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt32(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt64(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt64(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlMoney(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlMoney(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlSingle(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlSingle(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlString(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlString(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlValue(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlValue(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue200(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.SmiTypedGetterSetter,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlValues(System.Object[]),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlValues(Object[]),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue200(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.SmiTypedGetterSetter,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlXml(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlXml(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetSqlValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetString(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetString(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetTimeSpan(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetTimeSpan(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetValue(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetValue(Int32),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.GetValues(System.Object[]),Microsoft.SqlServer.Server,SqlDataRecord,GetValues(Object[]),"M:Microsoft.SqlServer.Server.ValueUtilsSmi.GetValue(Microsoft.SqlServer.Server.SmiEventSink_Default,Microsoft.SqlServer.Server.ITypedGettersV3,System.Int32,Microsoft.SqlServer.Server.SmiMetaData)",X,X,X
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetValue(System.Int32,System.Object)",Microsoft.SqlServer.Server,SqlDataRecord,"SetValue(Int32, Object)","M:Microsoft.SqlServer.Server.MetaDataUtilsSmi.DetermineExtendedTypeCodeForUseWithSqlDbType(System.Data.SqlDbType,System.Boolean,System.Object)",X,X,X
M:Microsoft.SqlServer.Server.SqlDataRecord.SetValues(System.Object[]),Microsoft.SqlServer.Server,SqlDataRecord,SetValues(Object[]),"M:Microsoft.SqlServer.Server.MetaDataUtilsSmi.DetermineExtendedTypeCodeForUseWithSqlDbType(System.Data.SqlDbType,System.Boolean,System.Object)",X,X,X
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType)",M:Microsoft.SqlServer.Server.SqlMetaData.ThrowIfUdt(System.Data.SqlDbType),X,X,X
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Boolean, Boolean, SortOrder, Int32)",M:Microsoft.SqlServer.Server.SqlMetaData.ThrowIfUdt(System.Data.SqlDbType),X,X,X
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Byte,System.Byte,System.Int64,System.Data.SqlTypes.SqlCompareOptions,System.Type)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64, Byte, Byte, Int64, SqlCompareOptions, Type)","M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Byte,System.Byte,System.Int64,System.Data.SqlTypes.SqlCompareOptions,System.Type,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",X,X,X
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Byte,System.Byte,System.Int64,System.Data.SqlTypes.SqlCompareOptions,System.Type,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64, Byte, Byte, Int64, SqlCompareOptions, Type, Boolean, Boolean, SortOrder, Int32)","M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Byte,System.Byte,System.Int64,System.Data.SqlTypes.SqlCompareOptions,System.Type,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",X,X,X
"M:Microsoft.Win32.Registry.GetValue(System.String,System.String,System.Object)",Microsoft.Win32,Registry,"GetValue(String, String, Object)","M:Microsoft.Win32.RegistryKey.InternalGetValueCore(System.String,System.Object,System.Boolean)",X,X,
"M:Microsoft.Win32.Registry.SetValue(System.String,System.String,System.Object)",Microsoft.Win32,Registry,"SetValue(String, String, Object)","M:Microsoft.Win32.RegistryKey.SetValueCore(System.String,System.Object,Microsoft.Win32.RegistryValueKind)",X,X,
"M:Microsoft.Win32.Registry.SetValue(System.String,System.String,System.Object,Microsoft.Win32.RegistryValueKind)",Microsoft.Win32,Registry,"SetValue(String, String, Object, RegistryValueKind)","M:Microsoft.Win32.RegistryKey.SetValueCore(System.String,System.Object,Microsoft.Win32.RegistryValueKind)",X,X,
M:Microsoft.Win32.RegistryAclExtensions.GetAccessControl(Microsoft.Win32.RegistryKey),Microsoft.Win32,RegistryAclExtensions,GetAccessControl(RegistryKey),M:Microsoft.Win32.RegistryAclExtensions.GetAccessControl(Microsoft.Win32.RegistryKey),X,X,
"M:Microsoft.Win32.RegistryAclExtensions.GetAccessControl(Microsoft.Win32.RegistryKey,System.Security.AccessControl.AccessControlSections)",Microsoft.Win32,RegistryAclExtensions,"GetAccessControl(RegistryKey, AccessControlSections)","M:Microsoft.Win32.RegistryAclExtensions.GetAccessControl(Microsoft.Win32.RegistryKey,System.Security.AccessControl.AccessControlSections)",X,X,
"M:Microsoft.Win32.RegistryAclExtensions.SetAccessControl(Microsoft.Win32.RegistryKey,System.Security.AccessControl.RegistrySecurity)",Microsoft.Win32,RegistryAclExtensions,"SetAccessControl(RegistryKey, RegistrySecurity)","M:Microsoft.Win32.RegistryAclExtensions.SetAccessControl(Microsoft.Win32.RegistryKey,System.Security.AccessControl.RegistrySecurity)",X,X,
M:Microsoft.Win32.RegistryKey.Close,Microsoft.Win32,RegistryKey,Close(),M:Microsoft.Win32.RegistryKey.ClosePerfDataKey,X,X,
M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String),Microsoft.Win32,RegistryKey,CreateSubKey(String),"M:Microsoft.Win32.RegistryKey.CreateSubKeyInternalCore(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Object,Microsoft.Win32.RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,System.Boolean)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, Boolean)","M:Microsoft.Win32.RegistryKey.CreateSubKeyInternalCore(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Object,Microsoft.Win32.RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,System.Boolean,Microsoft.Win32.RegistryOptions)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, Boolean, RegistryOptions)","M:Microsoft.Win32.RegistryKey.CreateSubKeyInternalCore(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Object,Microsoft.Win32.RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck)","M:Microsoft.Win32.RegistryKey.CreateSubKeyInternalCore(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Object,Microsoft.Win32.RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,Microsoft.Win32.RegistryOptions)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck, RegistryOptions)","M:Microsoft.Win32.RegistryKey.CreateSubKeyInternalCore(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Object,Microsoft.Win32.RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,Microsoft.Win32.RegistryOptions,System.Security.AccessControl.RegistrySecurity)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck, RegistryOptions, RegistrySecurity)","M:Microsoft.Win32.RegistryKey.CreateSubKeyInternalCore(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Object,Microsoft.Win32.RegistryOptions)",X,X,
"M:Microsoft.Win32.RegistryKey.CreateSubKey(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Security.AccessControl.RegistrySecurity)",Microsoft.Win32,RegistryKey,"CreateSubKey(String, RegistryKeyPermissionCheck, RegistrySecurity)","M:Microsoft.Win32.RegistryKey.CreateSubKeyInternalCore(System.String,Microsoft.Win32.RegistryKeyPermissionCheck,System.Object,Microsoft.Win32.RegistryOptions)",X,X,
M:Microsoft.Win32.RegistryKey.DeleteSubKey(System.String),Microsoft.Win32,RegistryKey,DeleteSubKey(String),"M:Microsoft.Win32.RegistryKey.DeleteSubKeyCore(System.String,System.Boolean)",X,X,
"M:Microsoft.Win32.RegistryKey.DeleteSubKey(System.String,System.Boolean)",Microsoft.Win32,RegistryKey,"DeleteSubKey(String, Boolean)","M:Microsoft.Win32.RegistryKey.DeleteSubKeyCore(System.String,System.Boolean)",X,X,
M:Microsoft.Win32.RegistryKey.DeleteSubKeyTree(System.String),Microsoft.Win32,RegistryKey,DeleteSubKeyTree(String),M:Microsoft.Win32.RegistryKey.DeleteSubKeyTreeCore(System.String),X,X,
