DocId,Namespace,Type,Member,Site,linux,osx,win
M:System.ServiceModel.EndpointIdentity.CreateIdentity(System.IdentityModel.Claims.Claim),System.ServiceModel,EndpointIdentity,CreateIdentity(Claim),M:System.ServiceModel.EndpointIdentity.CreateIdentity(System.IdentityModel.Claims.Claim),X,X,
M:System.ServiceModel.EndpointIdentity.Equals(System.Object),System.ServiceModel,EndpointIdentity,Equals(Object),M:System.ServiceModel.EndpointIdentity.GetClaimComparer,X,X,
M:System.ServiceModel.EndpointIdentity.GetHashCode,System.ServiceModel,EndpointIdentity,GetHashCode(),M:System.ServiceModel.EndpointIdentity.GetClaimComparer,X,X,
"M:System.ServiceModel.EndpointNotFoundException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,EndpointNotFoundException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.EndpointNotFoundException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.FaultException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,FaultException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.FaultException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.FaultException`1.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,FaultException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.FaultException`1.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.InvalidMessageContractException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,InvalidMessageContractException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.InvalidMessageContractException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.MessageHeaderException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,MessageHeaderException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.MessageHeaderException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
M:System.ServiceModel.MessageSecurityOverTcp.get_ClientCredentialType,System.ServiceModel,MessageSecurityOverTcp,get_ClientCredentialType(),M:System.ServiceModel.MessageSecurityOverTcp.get_ClientCredentialType,X,X,
M:System.ServiceModel.MessageSecurityOverTcp.set_ClientCredentialType(System.ServiceModel.MessageCredentialType),System.ServiceModel,MessageSecurityOverTcp,set_ClientCredentialType(MessageCredentialType),M:System.ServiceModel.MessageSecurityOverTcp.set_ClientCredentialType(System.ServiceModel.MessageCredentialType),X,X,
M:System.ServiceModel.NetHttpBinding.CreateBindingElements,System.ServiceModel,NetHttpBinding,CreateBindingElements(),M:System.ServiceModel.NetHttpBinding.CreateBindingElements,X,X,
M:System.ServiceModel.NetHttpsBinding.#ctor,System.ServiceModel,NetHttpsBinding,.ctor(),M:System.ServiceModel.NetHttpsBinding.#ctor(System.ServiceModel.BasicHttpsSecurityMode),X,X,
