Name,ModuleName
alljoyn_aboutdata_setappid,MSAJApi.dll
alljoyn_aboutdata_setappid_fromstring,MSAJApi.dll
alljoyn_aboutdata_setappname,MSAJApi.dll
alljoyn_aboutdata_setdateofmanufacture,MSAJApi.dll
alljoyn_aboutdata_setdefaultlanguage,MSAJApi.dll
alljoyn_aboutdata_setdescription,MSAJApi.dll
alljoyn_aboutdata_setdeviceid,MSAJApi.dll
alljoyn_aboutdata_setdevicename,MSAJApi.dll
alljoyn_aboutdata_setfield,MSAJApi.dll
alljoyn_aboutdata_sethardwareversion,MSAJApi.dll
alljoyn_aboutdata_setmanufacturer,MSAJApi.dll
alljoyn_aboutdata_setmodelnumber,MSAJApi.dll
alljoyn_aboutdata_setsoftwareversion,MSAJApi.dll
alljoyn_aboutdata_setsupportedlanguage,MSAJApi.dll
alljoyn_aboutdata_setsupporturl,MSAJApi.dll
alljoyn_abouticonobj_create,MSAJApi.dll
alljoyn_abouticonobj_destroy,MSAJApi.dll
alljoyn_abouticonproxy_create,MSAJApi.dll
alljoyn_abouticonproxy_destroy,MSAJApi.dll
alljoyn_abouticonproxy_geticon,MSAJApi.dll
alljoyn_abouticonproxy_getversion,MSAJApi.dll
alljoyn_abouticon_clear,MSAJApi.dll
alljoyn_abouticon_create,MSAJApi.dll
alljoyn_abouticon_destroy,MSAJApi.dll
alljoyn_abouticon_getcontent,MSAJApi.dll
alljoyn_abouticon_geturl,MSAJApi.dll
alljoyn_abouticon_setcontent,MSAJApi.dll
alljoyn_abouticon_setcontent_frommsgarg,MSAJApi.dll
alljoyn_abouticon_seturl,MSAJApi.dll
alljoyn_aboutlistener_create,MSAJApi.dll
alljoyn_aboutlistener_destroy,MSAJApi.dll
alljoyn_aboutobjectdescription_clear,MSAJApi.dll
alljoyn_aboutobjectdescription_create,MSAJApi.dll
alljoyn_aboutobjectdescription_createfrommsgarg,MSAJApi.dll
alljoyn_aboutobjectdescription_create_full,MSAJApi.dll
alljoyn_aboutobjectdescription_destroy,MSAJApi.dll
alljoyn_aboutobjectdescription_getinterfacepaths,MSAJApi.dll
alljoyn_aboutobjectdescription_getinterfaces,MSAJApi.dll
alljoyn_aboutobjectdescription_getmsgarg,MSAJApi.dll
alljoyn_aboutobjectdescription_getpaths,MSAJApi.dll
alljoyn_aboutobjectdescription_hasinterface,MSAJApi.dll
alljoyn_aboutobjectdescription_hasinterfaceatpath,MSAJApi.dll
alljoyn_aboutobjectdescription_haspath,MSAJApi.dll
alljoyn_aboutobj_announce,MSAJApi.dll
alljoyn_aboutobj_announce_using_datalistener,MSAJApi.dll
alljoyn_aboutobj_create,MSAJApi.dll
alljoyn_aboutobj_destroy,MSAJApi.dll
alljoyn_aboutobj_unannounce,MSAJApi.dll
alljoyn_aboutproxy_create,MSAJApi.dll
alljoyn_aboutproxy_destroy,MSAJApi.dll
alljoyn_aboutproxy_getaboutdata,MSAJApi.dll
alljoyn_aboutproxy_getobjectdescription,MSAJApi.dll
alljoyn_aboutproxy_getversion,MSAJApi.dll
alljoyn_applicationstatelistener_create,MSAJApi.dll
alljoyn_applicationstatelistener_destroy,MSAJApi.dll
alljoyn_authlistenerasync_create,MSAJApi.dll
alljoyn_authlistenerasync_destroy,MSAJApi.dll
alljoyn_authlistener_create,MSAJApi.dll
alljoyn_authlistener_destroy,MSAJApi.dll
alljoyn_authlistener_requestcredentialsresponse,MSAJApi.dll
alljoyn_authlistener_setsharedsecret,MSAJApi.dll
